application_name,business_purpose,data_fields,connector_metadata,expected_classification
Press Release Tracker,Provide public marketing and product information,product_name description public_price,public content feed,public
Secrets Rotation Workflow,Support privileged access administration,bank_account routing_number payment_token,privileged access system,restricted
Privileged Access Manager,Support privileged access administration,card_number expiry_date cvv account_holder,secret management service,restricted
Customer Operations Portal,Process customer records for approved support operations,customer_id contact_email address,CRM API,confidential
Financial Card Processing App,Handle restricted financial transaction data,bank_account routing_number payment_token,secret management service,restricted
Operations Task Board,Manage internal department planning,department cost_center internal_notes,enterprise directory,internal
Client Contact Manager,Support customer account servicing,account_id email billing_address phone,CRM API,confidential
Privileged Access Manager,Manage privileged credentials and secrets,card_number expiry_date cvv account_holder,privileged access system,restricted
Marketing Campaign Page,Publish information intended for external audiences,product_name description public_price,public content feed,public
Payment Administration Tool,Process highly sensitive payment information,password access_token secret_key,privileged access system,restricted
Press Release Tracker,Display public events and announcements,event_name event_date venue public_link,public content feed,public
Customer Operations Portal,Analyze customer operational records,client_name phone_number support_case,approved customer service API,confidential
Financial Card Processing App,Support privileged access administration,bank_account routing_number payment_token,restricted financial API,restricted
Customer Service Workspace,Support customer account servicing,customer_id contact_email address,approved customer service API,confidential
Public Product Catalog,Share approved public content with customers,product_name description public_price,approved marketing API,public
Public Product Catalog,Provide public marketing and product information,headline summary publication_date,public website,public
Public Event Directory,Provide public marketing and product information,product_name description public_price,public website,public
Financial Card Processing App,Manage privileged credentials and secrets,card_number expiry_date cvv account_holder,secret management service,restricted
Public Event Directory,Share approved public content with customers,headline summary publication_date,approved marketing API,public
Internal Knowledge Workflow,Coordinate employee workflow and project tasks,department cost_center internal_notes,enterprise directory,internal
Internal Project Tracker,Manage internal department planning,department cost_center internal_notes,internal database,internal
Financial Card Processing App,Manage privileged credentials and secrets,bank_account routing_number payment_token,privileged access system,restricted
Marketing Campaign Page,Provide public marketing and product information,product_name description public_price,approved marketing API,public
Client Contact Manager,Process customer records for approved support operations,customer_name email phone customer_id,approved customer service API,confidential
Press Release Tracker,Publish information intended for external audiences,event_name event_date venue public_link,public content feed,public
Privileged Access Manager,Support privileged access administration,api_secret privileged_account credential,privileged access system,restricted
Customer Service Workspace,Support customer account servicing,account_id email billing_address phone,CRM API,confidential
Customer Data Export,Process customer records for approved support operations,client_name phone_number support_case,CRM API,confidential
Client Contact Manager,Analyze customer operational records,customer_id contact_email address,approved customer service API,confidential
Public Event Directory,Display public events and announcements,product_name description public_price,approved marketing API,public
Privileged Access Manager,Manage privileged credentials and secrets,bank_account routing_number payment_token,secret management service,restricted
Public Event Directory,Display public events and announcements,event_name event_date venue public_link,public CMS,public
Secrets Rotation Workflow,Handle restricted financial transaction data,card_number expiry_date cvv account_holder,payment processor,restricted
Payment Administration Tool,Handle restricted financial transaction data,api_secret privileged_account credential,secret management service,restricted
Secrets Rotation Workflow,Handle restricted financial transaction data,password access_token secret_key,payment processor,restricted
Public Event Directory,Display public events and announcements,product_name description public_price,public CMS,public
Customer Data Export,Analyze customer operational records,customer_id contact_email address,customer support platform,confidential
Department Planning App,Manage internal department planning,employee_name department task_status,corporate workflow API,internal
Financial Card Processing App,Process highly sensitive payment information,api_secret privileged_account credential,privileged access system,restricted
Public Product Catalog,Publish information intended for external audiences,product_name description public_price,approved marketing API,public
Client Contact Manager,Manage customer contact information,account_id email billing_address phone,approved customer service API,confidential
Department Planning App,Manage internal department planning,asset_type employee_id approval_status,corporate workflow API,internal
Press Release Tracker,Display public events and announcements,title description category public_url,public CMS,public
Internal Project Tracker,Manage internal department planning,project_code owner team deadline,internal database,internal
Public Event Directory,Share approved public content with customers,product_name description public_price,public CMS,public
Account Support Dashboard,Process customer records for approved support operations,client_name phone_number support_case,approved customer service API,confidential
Secrets Rotation Workflow,Manage privileged credentials and secrets,card_number expiry_date cvv account_holder,secret management service,restricted
Public Product Catalog,Publish information intended for external audiences,event_name event_date venue public_link,public content feed,public
Operations Task Board,Coordinate employee workflow and project tasks,employee_name department task_status,corporate workflow API,internal
Public Event Directory,Provide public marketing and product information,product_name description public_price,public website,public
Credential Operations Workflow,Manage privileged credentials and secrets,card_number expiry_date cvv account_holder,restricted financial API,restricted
Customer Service Workspace,Process customer records for approved support operations,account_id email billing_address phone,CRM API,confidential
Financial Card Processing App,Handle restricted financial transaction data,card_number expiry_date cvv account_holder,secret management service,restricted
Privileged Access Manager,Process highly sensitive payment information,card_number expiry_date cvv account_holder,payment processor,restricted
Client Contact Manager,Support customer account servicing,client_name phone_number support_case,approved customer service API,confidential
Client Contact Manager,Manage customer contact information,client_name phone_number support_case,approved customer service API,confidential
Public Event Directory,Share approved public content with customers,product_name description public_price,approved marketing API,public
